id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
5054,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,BX 12,20,0437,Annual,1,59580,59580,1.0,
5055,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 12,1,0432,Annual,1,83676,167352,2.0,
5056,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 12,1,0432,Annual,1,69468,69468,1.0,
5057,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0431,Annual,1,60420,60420,1.0,
5058,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 08,1,0430,Annual,1,36492,36492,1.0,
5059,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,BX 16,10,0347,Annual,1,64704,64704,1.0,
5060,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,BX 16,20,0309,Annual,1,75408,75408,1.0,
5061,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 13,1,0308,Annual,1,58020,116040,2.0,
5062,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 12,1,0303,Annual,1,91824,91824,1.0,
5063,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 12,1,0303,Annual,1,87636,87636,1.0,
5064,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 12,1,0303,Annual,1,52896,52896,1.0,
5065,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,76248,152496,2.0,
5066,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,72828,72828,1.0,
5067,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,69468,69468,1.0,
5068,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,63348,63348,1.0,
5069,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,47472,47472,1.0,
5070,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,B 10,1,0302,Annual,1,43932,43932,1.0,
5071,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,0,,1 00,0,0015,Annual,0,187443,187443,,0.0
5072,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 08,1,1813,Annual,1,63348,63348,1.0,
5073,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,BX 17,10,1559,Annual,1,115656,115656,1.0,
5074,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,GY 08,20,1141,Annual,1,94848,94848,1.0,
5075,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 09,1,0665,Annual,1,69468,208404,3.0,
5076,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 09,1,0665,Annual,1,63348,63348,1.0,
5077,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 07,5,0579,Annual,1,95172,95172,1.0,
5078,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 07,5,0579,Annual,1,76248,76248,1.0,
5079,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 07,4,0576,Annual,1,109620,109620,1.0,
5080,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 06,5,0574,Annual,1,100500,201000,2.0,
5081,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 06,5,0574,Annual,1,86688,86688,1.0,
5082,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 03,5,0573,Annual,1,51660,51660,1.0,
5083,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 05,5,0506,Annual,1,91944,91944,1.0,
5084,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,G 04,5,0501,Annual,1,83268,83268,1.0,
5085,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 10,1,0449,Annual,1,69468,69468,1.0,
5086,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 08,1,0447,Annual,1,55068,55068,1.0,
5087,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 08,1,0447,Annual,1,36492,72984,2.0,
5088,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 12,1,0432,Annual,1,52896,52896,1.0,
5089,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 10,1,0431,Annual,1,76248,228744,3.0,
5090,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 10,1,0431,Annual,1,57720,57720,1.0,
5091,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 08,1,0430,Annual,1,63348,63348,1.0,
5092,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,B 10,1,0302,Annual,1,63348,63348,1.0,
5093,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3016,0,,1 00,0,0015,Annual,0,4505,4505,,0.0
5094,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,2 0,8,7185,Hourly,1,40,84157,1.0,
5095,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,2 0,8,7183,Hourly,1,39,242923,3.0,
5096,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,B 10,1,1817,Annual,1,72828,72828,1.0,
5097,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,B 08,1,1813,Annual,1,57720,57720,1.0,
5098,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,B 08,1,1813,Annual,1,55068,55068,1.0,
5099,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,1 00,0,0015,Annual,0,2565,2565,,0.0
5100,Local,91,0346,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3021,0,,1 00,0,0012,Annual,0,4481,4481,,0.0
5101,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,B 14,1,1730,Annual,1,110508,110508,1.0,
5102,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,G 10,1,0629,Annual,1,129588,129588,1.0,
5103,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,G 10,4,0625,Annual,1,139392,278784,2.0,
5104,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,G 10,4,0625,Annual,1,123864,123864,1.0,
5105,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,B 13,4,0620,Annual,1,58020,58020,1.0,
5106,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,3 00,10,0619,Annual,1,116820,116820,1.0,
5107,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,G 10,1,0602,Annual,1,135336,135336,1.0,
5108,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,G 10,1,0602,Annual,1,129588,129588,1.0,
5109,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,3 00,0,0601,Annual,1,114528,114528,1.0,
5110,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4205,Information Systems,1 00,0,0015,Annual,0,4311,4311,,0.0
5111,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,54,9528,Hourly,1,44,184704,2.0,
5112,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,8,7183,Hourly,1,38,239304,3.0,
5113,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,36,6674,Hourly,1,50,206669,2.0,
5114,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,G 08,4,5814,Annual,1,119712,119712,1.0,
5115,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,29,5085,Monthly,1,11076,132912,1.0,
5116,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,29,5084,Monthly,1,10383,622960,5.0,
5117,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,29,5081,Hourly,1,55,1141920,10.0,
5118,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,29,5080,Monthly,1,9516,2512224,22.0,
5119,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,32,5040,Hourly,1,54,111322,1.0,
5120,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,32,5036,Monthly,1,8667,416000,4.0,
5121,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,2 0,32,5035,Hourly,1,50,832000,8.0,
5122,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4210,Infrastructure,1 00,0,0012,Annual,0,79227,79227,,0.0
5123,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4220,Interoperable Communications,1 00,9,9684,Annual,1,123996,123996,1.0,
5124,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4220,Interoperable Communications,2 0,32,5040,Hourly,1,54,445286,4.0,
5125,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4220,Interoperable Communications,2 0,32,5035,Hourly,1,50,3224000,31.0,
5126,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4220,Interoperable Communications,B 13,1,1854,Annual,1,58020,58020,1.0,
5127,Local,51,0353,1005,Public Safety Administration,2005,Office of Public Safety Administration,3020,4220,Interoperable Communications,1 00,0,0012,Annual,0,24217,24217,,0.0
5128,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,3 00,0,8608,Annual,1,107244,107244,1.0,
5129,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,I 14,2,8602,Annual,1,101496,101496,1.0,
5130,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,I 14,2,8602,Annual,1,88272,176544,2.0,
5131,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,I 14,2,8602,Annual,1,84324,168648,2.0,
5132,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,I 14,2,8602,Annual,1,73380,73380,1.0,
5133,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,I 14,2,8602,Annual,1,57408,114816,2.0,
5134,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4030,Training,1 00,0,0015,Annual,0,1788,1788,,0.0
5135,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,1 00,9,9684,Annual,1,129072,129072,1.0,
5136,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,3 00,0,8608,Annual,1,107244,750708,7.0,
5137,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,3 00,57,8604,Annual,1,107712,3123648,29.0,
5138,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,101496,3653856,36.0,
5139,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,96948,1938960,20.0,
5140,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,92520,2960640,32.0,
5141,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,88272,1324080,15.0,
5142,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,84324,1433508,17.0,
5143,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,80484,1046292,13.0,
5144,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,76848,614784,8.0,
5145,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,73380,1320840,18.0,
5146,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,65964,1781028,27.0,
5147,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,63012,252048,4.0,
5148,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,60108,1142052,19.0,
5149,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 14,2,8602,Annual,1,57408,3214848,56.0,
5150,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,92520,740160,8.0,
5151,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,88272,441360,5.0,
5152,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,84324,1855128,22.0,
5153,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,80484,2253552,28.0,
5154,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,76848,1383264,18.0,
5155,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,73380,220140,3.0,
5156,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,70044,560352,8.0,
5157,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,66852,467964,7.0,
5158,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,60108,4387884,73.0,
5159,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,57408,57408,1.0,
5160,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,54840,109680,2.0,
5161,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,I 13,2,8601,Annual,1,52296,1673472,32.0,
5162,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4040,Police Dispatch,1 00,0,0015,Annual,0,404693,404693,,0.0
5163,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,1 00,9,9684,Annual,1,125244,125244,1.0,
5164,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,2 0,29,8609,Monthly,1,11076,265824,2.0,
5165,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,2 0,29,8607,Monthly,1,10383,1370512,11.0,
5166,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,Q 02,29,8606,Annual,1,104112,3123360,30.0,
5167,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,Q 02,29,8606,Annual,1,88476,619332,7.0,
5168,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,Q 01,29,8605,Annual,1,74328,1709544,23.0,
5169,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,Q 01,29,8605,Annual,1,55752,724776,13.0,
5170,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,B 13,1,0308,Annual,1,87636,87636,1.0,
5171,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,1 00,0,0015,Annual,0,55078,55078,,0.0
5172,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3010,4045,Fire Dispatch,1 00,0,0012,Annual,0,23726,23726,,0.0
5173,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,Q 01,29,8605,Annual,1,74328,74328,1.0,
5174,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,3 00,57,8604,Annual,1,99024,99024,1.0,
5175,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 14,2,8602,Annual,1,92520,92520,1.0,
5176,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 14,2,8602,Annual,1,84324,84324,1.0,
5177,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 14,2,8602,Annual,1,57408,114816,2.0,
5178,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,92520,92520,1.0,
5179,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,88272,88272,1.0,
5180,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,84324,168648,2.0,
5181,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,80484,80484,1.0,
5182,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,76848,153696,2.0,
5183,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,70044,70044,1.0,
5184,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,I 13,2,8601,Annual,1,66852,66852,1.0,
5185,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,B 10,1,0302,Annual,1,47472,47472,1.0,
5186,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3020,4021,Investigations,1 00,0,0015,Annual,0,11102,11102,,0.0
5187,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3030,4086,Planning and Preparedness,1 00,9,9684,Annual,1,125244,125244,1.0,
5188,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3030,4086,Planning and Preparedness,1 00,9,9684,Annual,1,111144,111144,1.0,
5189,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3030,4086,Planning and Preparedness,B 17,3,8621,Annual,1,84132,84132,1.0,
5190,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3030,4086,Planning and Preparedness,B 16,4,8620,Annual,1,76716,306864,4.0,
5191,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,4 00,0,9108,Hourly,0,19,39354,,2080.0
5192,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 12,1,8625,Annual,1,79872,79872,1.0,
5193,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 12,1,8625,Annual,1,72828,145656,2.0,
5194,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 12,1,8625,Annual,1,54528,54528,1.0,
5195,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 12,1,8625,Annual,1,52896,105792,2.0,
5196,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 17,3,8621,Annual,1,90912,90912,1.0,
5197,Local,58,0353,1010,OEMC,2705,Office of Emergency Management and Communications,3050,4165,Operations Center,B 17,3,8621,Annual,1,84132,84132,1.0,
5198,Local,1,0355,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9870,Annual,1,65016,130032,2.0,
5199,Local,1,0355,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9616,Annual,1,75000,75000,1.0,
5200,Local,1,0355,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3040,0,,1 00,9,9875,Annual,1,115584,115584,1.0,
5201,Local,1,0355,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3040,0,,1 00,0,9637,Annual,1,52536,52536,1.0,
5202,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,1 00,9,9923,Annual,1,159696,159696,1.0,
5203,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,1 00,9,9660,Annual,1,130380,130380,1.0,
5204,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,BX 15,10,0802,Annual,1,64704,64704,1.0,
5205,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,BX 15,10,0320,Annual,1,96096,96096,1.0,
5206,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,3 00,9,0313,Annual,1,91092,91092,1.0,
5207,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3200,0,,3 00,9,0311,Annual,1,91092,182184,2.0,
5208,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,1 00,9,9679,Annual,1,111144,111144,1.0,
5209,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,B 14,1,1576,Annual,1,110508,110508,1.0,
5210,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,3 00,10,1525,Annual,1,96096,96096,1.0,
5211,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,BX 17,10,0345,Annual,1,96096,96096,1.0,
5212,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,BX 17,10,0345,Annual,1,79020,79020,1.0,
5213,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,3 00,0,0229,Annual,1,88416,88416,1.0,
5214,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3205,0,,3 00,0,0118,Annual,1,95736,95736,1.0,
5215,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4275,Arts and Creative Industries Administration,1 00,9,9679,Annual,1,113304,113304,1.0,
5216,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4275,Arts and Creative Industries Administration,3 00,0,1430,Annual,1,76164,76164,1.0,
5217,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4275,Arts and Creative Industries Administration,BX 13,10,0801,Annual,1,72744,72744,1.0,
5218,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4275,Arts and Creative Industries Administration,3 00,9,0311,Annual,1,91092,91092,1.0,
5219,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4275,Arts and Creative Industries Administration,1 00,0,0015,Annual,0,570,570,,0.0
5220,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,3 00,10,1757,Annual,1,95736,95736,1.0,
5221,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,3 00,10,1757,Annual,1,92004,184008,2.0,
5222,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,3 00,10,1757,Annual,1,88416,88416,1.0,
5223,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,BX 15,10,1756,Annual,1,72744,145488,2.0,
5224,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,BX 15,10,1756,Annual,1,70272,70272,1.0,
5225,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,BX 15,10,1756,Annual,1,67800,67800,1.0,
5226,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,BX 15,10,1756,Annual,1,64704,64704,1.0,
5227,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,BX 15,10,0715,Annual,1,91752,91752,1.0,
5228,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,3 00,9,0313,Annual,1,103680,103680,1.0,
5229,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3210,4280,Visual Arts,1 00,0,0015,Annual,0,6485,6485,,0.0
5230,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,4235,Event Permits,1 00,9,9652,Annual,1,123600,123600,1.0,
5231,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,4235,Event Permits,BX 14,10,1782,Annual,1,87564,87564,1.0,
5232,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,4235,Event Permits,BX 12,10,1780,Annual,1,65376,65376,1.0,
5233,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,4235,Event Permits,BX 17,20,1778,Annual,1,115656,115656,1.0,
5234,Local,23,0355,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,4235,Event Permits,3 00,10,1757,Annual,1,92004,92004,1.0,
